cnt,exercise,ACC X, ACC Y, ACC Z, GYR X, GYR Y, GYR Z, MAG X, MAG Y, MAG Z, raw
338,2,                -895,-200,-167,                0,21,-89,                -288,324,438,                bytearray(b'\x85>\x81\xfc8\xffY\xff\x00\x00\x15\x00\xa7\xff\xe0\xfeD\x01\xb6\x01'),
339,2,                -930,-228,-172,                -18,42,-75,                -286,319,433,                bytearray(b'\x8b>^\xfc\x1c\xffT\xff\xee\xff*\x00\xb5\xff\xe2\xfe?\x01\xb1\x01'),
340,2,                -887,-225,-232,                -10,16,-55,                -280,321,438,                bytearray(b'\x92>\x89\xfc\x1f\xff\x18\xff\xf6\xff\x10\x00\xc9\xff\xe8\xfeA\x01\xb6\x01'),
341,2,                -946,-259,-191,                -9,-25,-26,                -283,325,442,                bytearray(b'\x98>N\xfc\xfd\xfeA\xff\xf7\xff\xe7\xff\xe6\xff\xe5\xfeE\x01\xba\x01'),
342,2,                -921,-252,-204,                -14,7,-70,                -286,322,438,                bytearray(b'\x9e>g\xfc\x04\xff4\xff\xf2\xff\x07\x00\xba\xff\xe2\xfeB\x01\xb6\x01'),
343,2,                -919,-242,-221,                -21,9,-47,                -283,318,444,                bytearray(b'\xa4>i\xfc\x0e\xff#\xff\xeb\xff\t\x00\xd1\xff\xe5\xfe>\x01\xbc\x01'),
344,2,                -968,-256,-218,                -11,-2,-45,                -273,331,444,                bytearray(b'\xab>8\xfc\x00\xff&\xff\xf5\xff\xfe\xff\xd3\xff\xef\xfeK\x01\xbc\x01'),
345,2,                -924,-257,-228,                -3,-41,-44,                -274,325,447,                bytearray(b'\xb1>d\xfc\xff\xfe\x1c\xff\xfd\xff\xd7\xff\xd4\xff\xee\xfeE\x01\xbf\x01'),
346,2,                -890,-254,-234,                6,-44,-21,                -271,322,444,                bytearray(b'\xb7>\x86\xfc\x02\xff\x16\xff\x06\x00\xd4\xff\xeb\xff\xf1\xfeB\x01\xbc\x01'),
347,2,                -947,-277,-207,                4,-22,-28,                -277,322,445,                bytearray(b'\xbd>M\xfc\xeb\xfe1\xff\x04\x00\xea\xff\xe4\xff\xeb\xfeB\x01\xbd\x01'),
348,2,                -868,-251,-198,                -1,-35,-29,                -277,322,442,                bytearray(b'\xc4>\x9c\xfc\x05\xff:\xff\xff\xff\xdd\xff\xe3\xff\xeb\xfeB\x01\xba\x01'),
349,2,                -896,-259,-204,                -3,-37,-1,                -277,322,442,                bytearray(b'\xca>\x80\xfc\xfd\xfe4\xff\xfd\xff\xdb\xff\xff\xff\xeb\xfeB\x01\xba\x01'),
350,2,                -907,-258,-199,                -14,-8,-9,                -274,331,439,                bytearray(b'\xd0>u\xfc\xfe\xfe9\xff\xf2\xff\xf8\xff\xf7\xff\xee\xfeK\x01\xb7\x01'),
351,2,                -887,-263,-193,                -7,-48,26,                -271,325,450,                bytearray(b'\xd6>\x89\xfc\xf9\xfe?\xff\xf9\xff\xd0\xff\x1a\x00\xf1\xfeE\x01\xc2\x01'),
352,2,                -900,-248,-186,                -22,-16,35,                -277,319,436,                bytearray(b'\xdd>|\xfc\x08\xffF\xff\xea\xff\xf0\xff#\x00\xeb\xfe?\x01\xb4\x01'),
353,2,                -926,-261,-199,                -22,-58,48,                -283,330,435,                bytearray(b'\xe3>b\xfc\xfb\xfe9\xff\xea\xff\xc6\xff0\x00\xe5\xfeJ\x01\xb3\x01'),
354,2,                -918,-250,-194,                -22,-107,70,                -277,319,444,                bytearray(b'\xe9>j\xfc\x06\xff>\xff\xea\xff\x95\xffF\x00\xeb\xfe?\x01\xbc\x01'),
355,2,                -930,-253,-212,                -28,-82,68,                -280,325,438,                bytearray(b'\xef>^\xfc\x03\xff,\xff\xe4\xff\xae\xffD\x00\xe8\xfeE\x01\xb6\x01'),
356,2,                -910,-233,-192,                -31,-58,70,                -285,330,430,                bytearray(b'\xf6>r\xfc\x17\xff@\xff\xe1\xff\xc6\xffF\x00\xe3\xfeJ\x01\xae\x01'),
357,2,                -897,-221,-199,                -26,-74,99,                -294,328,430,                bytearray(b'\xfc>\x7f\xfc#\xff9\xff\xe6\xff\xb6\xffc\x00\xda\xfeH\x01\xae\x01'),
358,2,                -903,-217,-187,                -26,-70,119,                -282,321,423,                bytearray(b"\x02?y\xfc\'\xffE\xff\xe6\xff\xba\xffw\x00\xe6\xfeA\x01\xa7\x01"),
359,2,                -924,-216,-188,                -20,-85,133,                -297,325,423,                bytearray(b'\x08?d\xfc(\xffD\xff\xec\xff\xab\xff\x85\x00\xd7\xfeE\x01\xa7\x01'),
360,2,                -929,-196,-180,                -25,-105,143,                -304,318,420,                bytearray(b'\x0f?_\xfc<\xffL\xff\xe7\xff\x97\xff\x8f\x00\xd0\xfe>\x01\xa4\x01'),
361,2,                -923,-178,-195,                -24,-77,158,                -297,319,423,                bytearray(b'\x15?e\xfcN\xff=\xff\xe8\xff\xb3\xff\x9e\x00\xd7\xfe?\x01\xa7\x01'),
362,2,                -955,-182,-183,                -16,-38,151,                -310,324,421,                bytearray(b'\x1b?E\xfcJ\xffI\xff\xf0\xff\xda\xff\x97\x00\xca\xfeD\x01\xa5\x01'),
